,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc
train,0.88,0.8602150537634409,0.9090909090909091,0.8839779005524862,160.0,148.0,26.0,16.0,0.9391327063740857
test,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,71.0,58.0,17.0,4.0,0.9112888888888889
